PlotId,TreeId,x_tree_base,y_tree_base,z_tree_base,DBH,CCI_at_BH,Height,Volume_1,Volume_2,Crown_mean_x,Crown_mean_y,Crown_top_x,Crown_top_y,Crown_top_z,mean_understory_height_in_5m_radius
Model,2,-1.7813614289204658,-20.199108063876587,1115.4978433153237,0.337,0.9,5.866309152917211,0.4302292838422121,0.2517227985269265,-0.4460479063519366,-20.535771869441994,0.10017674026489587,-20.715023353581053,1120.9366788085936,1.25
Model,5,4.747523812414749,-31.199367571429782,1115.079254776308,0.069,0.425,1.5024797802443572,0.045148304184563455,0.0051134410945444094,4.805246167358526,-31.200624504568985,4.911524410995032,-31.19534729314647,1116.5775206612202,0
Model,7,-7.668867737349899,-15.018215339487893,1116.3535526694886,0.375,0.7625,14.9376332280317,0.8217182366175356,0.6456574184828512,-7.0486107652614045,-14.808799033657435,-7.0338232597351045,-14.621023353581052,1131.2716788085936,0
Model,8,-11.091295679434023,-6.575148411438665,1116.5095916778714,0.345,0.9625,5.484854126966411,0.9623898379644589,0.2519294886918648,-10.60912574641517,-6.585157237169995,-10.218508175664462,-6.581499455571925,1121.9062267498045,1.3
Model,9,-9.58963073365527,-14.118368508218182,1116.5368006389667,0.241,0.85,8.26672892975489,1.2934408977442646,0.16523481005044624,-8.588915266329577,-14.06050769075084,-8.138014084305235,-14.194805235575396,1124.6148625023309,0
Model,10,-8.650404979113652,-23.120232421109236,1116.5878948481222,0.174,0.9875,5.295541447995447,0.3244868798425295,0.06258194274805066,-8.29885263181327,-22.777463824660035,-7.825122016457033,-22.509890978816713,1121.7894662794404,0
Model,11,-8.693515781182349,-10.179058442141368,1116.2946912019752,0.261,0.8375,7.280806369013135,0.9298324499345656,0.17621465744519382,-8.237761697425487,-10.14069255962037,-7.864331036732312,-10.083916659658591,1123.5792558856683,1.3
Model,13,-22.28161287499563,4.440795485538084,1117.7431274138826,0.521,0.525,7.1807542167971405,1.7845279348052179,0.6950505939330421,-21.93443750605646,4.351576229481771,-22.68585471415063,3.973614447465061,1124.9447668517814,0
Model,14,-19.286409814961935,-5.107488183568216,1117.875192639479,0.287,0.85,6.828874191521891,1.4604751322848268,0.2033256929781717,-18.62354805672749,-5.922161086137696,-18.487774360358884,-6.623453047564791,1124.5491101838265,0
Model,15,-21.53880039024299,-2.028696028053985,1117.9876742536967,0.16,0.8,4.500579206360953,0.38987749362561275,0.0475885386046635,-21.2556980305837,-1.96414856047746,-21.046494704054005,-1.9168856700398258,1122.459317770716,0
Model,16,-18.063768816655596,-13.859872502659844,1118.0739189769356,0.188,0.6625,8.09945053886895,0.7008906911792575,0.09900241773290792,-16.9466169451373,-13.761352583304184,-15.79862679886956,-13.77800964060102,1125.951497138986,0.95
Model,17,-16.739183703183464,-24.25133414497199,1118.3681987894627,0.183,0.9875,6.195709428118789,0.6256682485058137,0.07711550018383469,-16.06878646144451,-23.927306035427982,-15.473723608639053,-23.564867744586373,1124.3699015191505,1.11
Model,18,-16.33187270647837,-17.94133196052026,1117.9843688103306,0.371,0.9875,12.862090974319472,2.499581825045141,0.557166081485209,-15.246922176830976,-17.55397830476164,-15.243823259735105,-17.293023353581052,1130.7846788085938,1.07
Model,19,-16.498685245604364,-27.449146476925467,1119.0071134326047,0.224,0.4875,7.076700943378455,0.867372566152858,0.12711358951598556,-15.580951068747812,-27.256497278639376,-15.306321408152598,-27.189838078858685,1125.4288964648667,0
Model,21,-20.505892826024848,-14.381172557545447,1119.025127416808,0.25,1.0,8.668678568136102,2.062618245708538,0.18438332190271423,-19.713597336440614,-14.519187410901916,-19.269715519865937,-14.726130816454244,1126.9803835539767,0.95
